"[""Devil's Due""]","0.521318","0.461293","0.210821","0.008817","0.461829","0.0","0.0","0.773","0.539","0.025","0.553","0.062","0.977"
"['Jack Ryan: Shadow Recruit']","0.113606","0.233253","0.321083","0.445254","0.235359","0.0","0.0","0.0","0.802","0.809","0.272","0.071","0.275"
"['Jamesy Boy']","0.15385","0.646721","0.057003","0.031029","0.127284","0.0","0.0","0.0","0.032","0.018","0.943","0.534","0.87"
"['The Nut Job']","0.32159","0.977053","0.608117","0.016509","0.043199","0.043","0.416","0.0","0.404","0.159","0.616","0.33","0.53"
"['Ride Along']","0.403824","0.098863","0.191165","0.287477","0.099628","0.0","0.0","0.01","0.619","0.425","0.542","0.436","0.498"
"['I, Frankenstein']","0.53088","0.042548","0.157745","0.061585","0.14463","0.0","0.0","0.782","0.055","0.091","0.645","0.561","0.971"
"['Labor Day']","0.045613","0.020222","0.071082","0.916273","0.089746","0.075","0.888","0.0","0.201","0.867","0.171","0.714","0.613"
"['That Awkward Moment']","0.430565","0.71577","0.197421","0.016356","0.47306","0.0","0.0","0.33","0.1","0.19","0.85","0.691","0.242"
"['Somewhere Slow']","0.828885","0.25018","0.698196","0.026828","0.09202","0.0","0.0","0.909","0.131","0.043","0.48","0.262","0.945"
"['The Monuments Men']","0.066499","0.548689","0.21758","0.318907","0.291137","0.0","0.0","0.0","0.757","0.403","0.728","0.15","0.138"
"['The Outsider']","0.225978","0.585995","0.894872","0.014987","0.325588","0.0","0.0","0.931","0.35","0.137","0.48","0.386","0.734"
"['Scorned']","0.507509","0.475716","0.181164","0.014172","0.015043","0.0","0.0","0.683","0.286","0.023","0.731","0.061","0.925"
"['After the Dark']","0.097216","0.058464","0.183418","0.075322","0.119817","0.0","0.0","0.423","0.471","0.599","0.592","0.485","0.269"
"['Nurse 3D']","0.486429","0.139228","0.132508","0.620563","0.0149","0.0","0.0","0.0","0.637","0.693","0.001","0.322","0.384"
"['The Pretty One']","0.18086","0.04018","0.042123","0.631433","0.036024","0.0","0.0","0.649","0.161","0.104","0.565","0.482","0.942"
"['About Last Night']","0.412979","0.219741","0.183519","0.032247","0.685949","0.0","0.495","0.0","0.067","0.638","0.747","0.918","0.866"
"['Sexual Perversity in Chicago']","0.069578","0.313997","0.328735","0.642876","0.167514","0.0","0.69","0.0","0.961","0.731","0.667","0.305","0.18"
"['Adult World']","0.347509","0.615786","0.118029","0.035681","0.321218","0.0","0.501","0.0","0.093","0.022","0.989","0.583","0.737"
"['Camp Takota']","0.024058","0.059988","0.151842","0.173412","0.396367","0.0","0.0","0.304","0.071","0.125","0.686","0.577","0.928"
"['Date and Switch']","0.656121","0.121841","0.032179","0.022842","0.331174","0.0","0.0","0.69","0.264","0.144","0.653","0.569","0.864"
"['Endless Love']","0.043744","0.015432","0.020013","0.818807","0.02262","0.0","0.0","0.0","0.053","0.282","0.978","0.925","0.852"
"['film of the same name']","0.089217","0.255885","0.477219","0.142457","0.230941","0.0","0.0","0.0","0.899","0.85","0.286","0.201","0.177"
"['RoboCop']","0.242371","0.173414","0.309495","0.241753","0.239007","0.0","0.0","0.0","0.22","0.929","0.24","0.477","0.75"
"['Someone Marry Barry']","0.027666","0.169624","0.560102","0.36063","0.1","0.149","0.0","0.939","0.118","0.081","0.853","0.89","0.705"
"['Apocalypse Pompeii']","0.386632","0.20992","0.322988","0.194916","0.110642","0.0","0.0","0.0","0.766","0.162","0.269","0.001","0.782"
"['3 Days to Kill']","0.106879","0.058866","0.721811","0.031622","0.824098","0.0","0.0","0.75","0.139","0.017","0.458","0.177","0.941"
"['Angels in Stardust']","0.127101","0.031935","0.730027","0.252845","0.224609","0.292","0.0","0.483","0.597","0.618","0.835","0.547","0.074"
"['Barefoot']","0.348196","0.759473","0.433713","0.021114","0.100327","0.0","0.0","0.462","0.758","0.631","0.464","0.24","0.574"
"['California Solo']","0.025332","0.146477","0.232411","0.764348","0.30487","0.0","0.068","0.0","0.505","0.347","0.541","0.189","0.533"
"['California Winter']","0.867377","0.123618","0.049205","0.035844","0.40387","0.0","0.0","0.571","0.145","0.816","0.373","0.631","0.799"
"['Call Me Kuchu']","0.174773","0.260946","0.473972","0.267561","0.201875","0.0","0.0","0.0","0.35","0.517","0.578","0.306","0.479"
"['Caroline and Jackie']","0.039152","0.036157","0.048324","0.992136","0.007783","0.553","0.0","0.763","0.369","0.623","0.716","0.838","0.261"
"['Casa de Mi Padre']","0.100092","0.474868","0.126031","0.513258","0.116235","0.0","0.0","0.0","0.906","0.766","0.088","0.029","0.362"
"['Celeste and Jesse Forever']","0.281584","0.026157","0.176245","0.300449","0.404862","0.088","0.967","0.0","0.406","0.155","0.461","0.387","0.949"
"['Changing the Game']","0.519629","0.129395","0.180713","0.123656","0.274432","0.0","0.0","0.0","0.859","0.863","0.741","0.636","0.138"
"['Chasing Ice']","0.538895","0.357063","0.141504","0.019499","0.161419","0.0","0.0","0.375","0.3","0.362","0.682","0.566","0.312"
